# Справочник палитры terrain.bmp (mod 5)
# Источник RGB: встроенная палитра map/terrain.bmp (8-bit indexed)
# Связь с игрой: map/terrain.txt -> text_N (color = { N }) -> categories.type
# categories.color — отдельный RGB для 3D/стратегической карты, НЕ палитра BMP
#
# index | R | G | B | hex     | text_N type      | categories RGB (если есть)
# ------+---+---+---+---------+------------------+---------------------------
  0 | 236 | 236 | 236 | #ECECEC | arctic           | (235,235,235)
 91 | 166 | 129 | 129 | #A68181 | -                | 
 92 | 128 | 104 | 104 | #806868 | -                | 
 93 |  98 |  79 |  79 | #624F4F | -                | 
 94 |  65 |  53 |  53 | #413535 | -                | 
 95 |  51 |  41 |  41 | #332929 | -                | 
 96 | 102 |  80 |  75 | #66504B | -                | 
 97 |  91 |  67 |  62 | #5B433E | -                | 
 98 |  74 |  53 |  49 | #4A3531 | -                | 
 99 |  62 |  43 |  39 | #3E2B27 | -                | 
100 |  53 |  33 |  29 | #35211D | -                | 
101 |  40 |  23 |  19 | #281713 | -                | 
102 |  30 |  15 |  12 | #1E0F0C | -                | 
103 |  18 |   8 |   6 | #120806 | -                | 
104 | 178 | 207 | 174 | #B2CFAE | -                | 
105 | 166 | 192 | 163 | #A6C0A3 | -                | 
106 | 151 | 175 | 148 | #97AF94 | -                | 
107 | 132 | 154 | 129 | #849A81 | -                | 
108 | 112 | 130 | 109 | #70826D | -                | 
109 |  91 | 107 |  89 | #5B6B59 | -                | 
110 |  72 |  84 |  71 | #485447 | -                | 
111 |  49 |  57 |  48 | #313930 | -                | 
112 |  97 | 209 |  66 | #61D142 | -                | 
113 |  91 | 194 |  62 | #5BC23E | -                | 
114 |  84 | 180 |  58 | #54B43A | -                | 
115 |  78 | 168 |  53 | #4EA835 | -                | 
116 |  71 | 155 |  47 | #479B2F | -                | 
117 |  65 | 143 |  44 | #418F2C | -                | 
118 |  58 | 129 |  39 | #3A8127 | -                | 
119 |  52 | 115 |  35 | #347323 | -                | 
120 | 143 | 172 | 200 | #8FACC8 | -                | 
121 | 133 | 160 | 186 | #85A0BA | -                | 
122 | 120 | 144 | 167 | #7890A7 | -                | 
123 | 107 | 128 | 149 | #6B8095 | -                | 
124 |  94 | 113 | 131 | #5E7183 | -                | 
125 |  83 | 100 | 116 | #536474 | -                | 
126 |  71 |  85 |  99 | #475563 | -                | 
127 |  59 |  70 |  81 | #3B4651 | -                | 
128 | 187 |  97 |   0 | #BB6100 | -                | 
129 | 171 |  89 |   0 | #AB5900 | -                | 
130 | 153 |  79 |   0 | #994F00 | -                | 
131 | 135 |  70 |   0 | #874600 | -                | 
132 | 118 |  61 |   0 | #763D00 | -                | 
133 | 105 |  54 |   0 | #693600 | -                | 
134 |  86 |  45 |   0 | #562D00 | -                | 
135 |  69 |  36 |   0 | #452400 | -                | 
136 |  24 |   0 | 255 | #1800FF | -                | 
137 |  22 |   0 | 232 | #1600E8 | -                | 
138 |  19 |   0 | 205 | #1300CD | -                | 
139 |  16 |   0 | 174 | #1000AE | -                | 
140 |  14 |   0 | 150 | #0E0096 | -                | 
141 |  11 |   0 | 120 | #0B0078 | -                | 
142 |   9 |   0 |  96 | #090060 | -                | 
143 |   6 |   0 |  65 | #060041 | -                | 
144 | 111 | 102 |  74 | #6F664A | -                | 
145 |  95 |  87 |  62 | #5F573E | -                | 
146 |  78 |  71 |  50 | #4E4732 | -                | 
147 |  63 |  57 |  40 | #3F3928 | -                | 
148 |  52 |  47 |  32 | #342F20 | -                | 
149 |  41 |  37 |  25 | #292519 | -                | 
150 |  30 |  27 |  18 | #1E1B12 | -                | 
151 |  17 |  15 |  10 | #110F0A | -                | 
152 | 218 | 164 | 177 | #DAA4B1 | -                | 
153 | 202 | 153 | 164 | #CA99A4 | -                | 
154 | 185 | 141 | 151 | #B98D97 | -                | 
155 | 164 | 125 | 134 | #A47D86 | -                | 
156 | 143 | 109 | 117 | #8F6D75 | -                | 
157 | 122 |  92 |  99 | #7A5C63 | -                | 
158 | 101 |  76 |  82 | #654C52 | -                | 
159 |  81 |  60 |  65 | #513C41 | -                | 
160 | 165 | 205 | 108 | #A5CD6C | -                | 
161 | 145 | 180 |  94 | #91B45E | -                | 
162 | 128 | 160 |  83 | #80A053 | -                | 
163 | 114 | 142 |  74 | #728E4A | -                | 
164 | 101 | 126 |  65 | #657E41 | -                | 
165 |  87 | 109 |  56 | #576D38 | -                | 
166 |  73 |  91 |  47 | #495B2F | -                | 
167 |  61 |  76 |  39 | #3D4C27 | -                | 
168 | 199 | 144 | 117 | #C79075 | -                | 
169 | 180 | 130 | 106 | #B4826A | -                | 
170 | 164 | 118 |  96 | #A47660 | -                | 
171 | 149 | 107 |  87 | #956B57 | -                | 
172 | 132 |  95 |  77 | #845F4D | -                | 
173 | 111 |  80 |  65 | #6F5041 | -                | 
174 |  95 |  69 |  56 | #5F4538 | -                | 
175 |  80 |  59 |  48 | #503B30 | -                | 
176 | 143 | 210 | 197 | #8FD2C5 | -                | 
177 | 132 | 193 | 181 | #84C1B5 | -                | 
178 | 114 | 169 | 158 | #72A99E | -                | 
179 | 101 | 150 | 140 | #65968C | -                | 
180 |  89 | 131 | 123 | #59837B | -                | 
181 |  76 | 112 | 105 | #4C7069 | -                | 
182 |  63 |  93 |  87 | #3F5D57 | -                | 
183 |  50 |  73 |  68 | #324944 | -                | 
184 | 157 | 180 | 116 | #9DB474 | -                | 
185 | 141 | 161 | 105 | #8DA169 | -                | 
186 | 122 | 140 |  91 | #7A8C5B | -                | 
187 | 104 | 119 |  77 | #68774D | -                | 
188 |  88 | 101 |  66 | #586542 | -                | 
189 |  71 |  81 |  54 | #475136 | -                | 
190 |  55 |  63 |  42 | #373F2A | -                | 
191 |  38 |  44 |  28 | #262C1C | -                | 
192 | 160 | 180 | 160 | #A0B4A0 | -                | 
193 | 143 | 160 | 143 | #8FA08F | -                | 
194 | 125 | 140 | 125 | #7D8C7D | -                | 
195 | 107 | 121 | 107 | #6B796B | -                | 
196 |  91 | 103 |  91 | #5B675B | -                | 
197 |  74 |  84 |  74 | #4A544A | -                | 
198 |  58 |  66 |  58 | #3A423A | -                | 
199 |  45 |  52 |  45 | #2D342D | -                | 
200 | 204 | 225 | 189 | #CCE1BD | -                | 
201 | 181 | 200 | 167 | #B5C8A7 | -                | 
202 | 161 | 179 | 147 | #A1B393 | -                | 
203 | 139 | 154 | 128 | #8B9A80 | -                | 
204 | 122 | 136 | 113 | #7A8871 | -                | 
205 | 103 | 114 |  94 | #67725E | -                | 
206 |  83 |  93 |  77 | #535D4D | -                | 
207 |  62 |  70 |  57 | #3E4639 | -                | 
208 | 208 | 101 |  69 | #D06545 | -                | 
209 | 187 |  90 |  62 | #BB5A3E | -                | 
210 | 167 |  80 |  54 | #A75036 | -                | 
211 | 151 |  72 |  49 | #974831 | -                | 
212 | 128 |  62 |  42 | #803E2A | -                | 
213 | 106 |  51 |  35 | #6A3323 | -                | 
214 |  85 |  41 |  28 | #55291C | -                | 
215 |  68 |  33 |  22 | #442116 | -                | 
216 |  75 | 210 | 208 | #4BD2D0 | -                | 
217 |  67 | 192 | 191 | #43C0BF | -                | 
218 |  58 | 170 | 169 | #3AAAA9 | -                | 
219 |  50 | 152 | 151 | #329897 | -                | 
220 |  45 | 134 | 133 | #2D8685 | -                | 
221 |  39 | 119 | 118 | #277776 | -                | 
222 |  33 | 100 |  99 | #216463 | -                | 
223 |  27 |  84 |  83 | #1B5453 | -                | 
224 | 190 | 181 | 193 | #BEB5C1 | -                | 
225 | 165 | 154 | 168 | #A59AA8 | -                | 
226 | 142 | 132 | 145 | #8E8491 | -                | 
227 | 117 | 108 | 119 | #756C77 | -                | 
228 | 119 | 150 | 138 | #77968A | -                | 
229 | 101 | 128 | 118 | #658076 | -                | 
230 |  85 | 106 |  98 | #556A62 | -                | 
231 |  69 |  88 |  81 | #455851 | -                | 
232 |   2 |   0 |   1 | #020001 | -                | 
233 |   2 |   0 |   1 | #020001 | -                | 
234 |   2 |   0 |   1 | #020001 | -                | 
235 |   2 |   0 |   1 | #020001 | -                | 
236 |   2 |   0 |   1 | #020001 | -                | 
237 |   2 |   0 |   1 | #020001 | -                | 
238 |   2 |   0 |   1 | #020001 | -                | 
239 |   2 |   0 |   1 | #020001 | -                | 
240 |   2 |   0 |   1 | #020001 | -                | 
241 |   2 |   0 |   1 | #020001 | -                | 
242 |   2 |   0 |   1 | #020001 | -                | 
243 |   2 |   0 |   1 | #020001 | -                | 
244 |   2 |   0 |   1 | #020001 | -                | 
245 |   2 |   0 |   1 | #020001 | -                | 
246 |   2 |   0 |   1 | #020001 | -                | 
247 |   2 |   0 |   1 | #020001 | -                | 
248 |   2 |   0 |   1 | #020001 | -                | 
249 |   2 |   0 |   1 | #020001 | -                | 
250 |   2 |   0 |   1 | #020001 | -                | 
251 |   2 |   0 |   1 | #020001 | -                | 
252 |   2 |   0 |   1 | #020001 | -                | 
253 |   2 |   0 |   1 | #020001 | -                | 
254 | 255 | 255 | 255 | #FFFFFF | -                | 
255 | 150 |  48 | 209 | #9630D1 | -                | 
