# Крупные города мира, 1830–1850
# Справочник для моддинга (terrain = urban, приоритеты развития, RGO/фабрики)
# Оценка по численности, политическому статусу и экономической роли эпохи.
# Население — порядок величины к ~1840, не точная перепись.

# =============================================================================
# КАТЕГОРИЯ 3 — развитые мегаполисы и мировые центры
# (~250 000+ жителей или доминирующий глобальный/имперский статус)
# =============================================================================

## Западная Европа
London              | Великобритания | ~2 000 000 | Имперская столица, финансы, промышленность
Palermo             | Сицилия | ~150 000 | Погранично с кат. 2
Seville             | Испания | ~100 000 | Колониальное прошлое
Valencia            | Испания | ~80 000
Porto               | Португалия | Вино

## Восточная Европа
Tbilisi             | Грузия | Кавказ
Baku                | Россия | Нефть (ранние промыслы)
Yekaterinburg       | Урал | Металл
Kazan               | Россия | Волга
Kharkiv             | Украина | ~30 000
Sevastopol           | Россия | Военно-морская база (с 1780-х)
Sarajevo            | Босния | ~20 000
Skopje              | Македония | ~15 000
Sofia               | Болгария | ~10 000

## Ближний Восток
Jeddah              | Хиджаз | Порт паломников
Mecca               | Хиджаз | Религиозный (сезонно больше)
Medina              | Хиджаз | Религиозный
Mosul               | Месопотамия | ~40 000
Basra               | Персидский зал. | Порт
Muscat              | Оман | Порт, торговля
Aden                | Йемен/Брит. | Угольная станция пути в Индию

## Южная и Восточная Азия
Cochin              | Малабар | Перец
Goa                 | Португалия | Старый форпост
Colombo             | Цейлон | ~30 000
Kandy               | Цейлон | ~10 000
Chittagong           | Бенгалия | Порт
Darjeeling          | Гималаи | Чай (развитие с 1840-х)
Mandalay            | Бирма | ~30 000
Phnom Penh          | Камбоджа | ~20 000
Vientiane           | Лаос | ~10 000
Hue                 | Аннам | ~50 000
Malacca             | Стрейты | Старый порт
Surabaya            | Ява | ~50 000
Banda Aceh          | Ачех | ~20 000
Cebu                | Филиппины | ~20 000
Dalian              | Маньчжурия | Порт (позже)
Lhasa               | Тибет | ~30 000 | Изолированный центр
Kashgar             | Синьцзян | Караваны
Urga (Ulaanbaatar)  | Монголия | ~10 000

## Африка
Lagos               | Нигерия | ~10 000→ | Рабство, пальмовое масло
Accra               | Золотой берег | ~10 000
Freetown            | Сьерра-Леоне | Освобождённые рабы
Monrovia            | Либерия | ~5 000  | Основан 1822
Luanda              | Ангола | ~20 000
Lourenço Marques    | Мозамбик | ~5 000
Mombasa             | Вост. Африка | ~10 000
Harar               | Эфиопия | ~20 000
Gondar              | Эфиопия | ~15 000
Tripoli (см.)       | | |
Oran                | Алжир | ~30 000

## Северная и Латинская Америка
Pittsburgh          | США | Стекло, металл
Detroit             | США | ~10 000
Buffalo             | США | Эри, каналы
Charleston          | США | Хлопок
Savannah            | США | Хлопок
Richmond            | США | Табак
Memphis             | США | ~5 000→ | Река
San Antonio         | Техас | ~5 000
San Francisco       | Мекс./США | ~1 000 | Миссия, золото с 1849
Los Angeles         | Мекс. Калиф. | ~2 000
Santa Fe            | Нью-Мексико | ~5 000
Halifax             | Нов. Шотландия | ~15 000
Kingston (Канада)   | Онтарио | ~10 000
Ottawa (Bytown)     | Канада | ~10 000
Chihuahua           | Мексика | ~15 000
Veracruz            | Мексика | Порт
Oaxaca              | Мексика | ~20 000
Mérida              | Юкатан | ~20 000
Panama City         | Нов. Гранада | ~15 000 | Перешеек
Cartagena           | Колумбия | ~20 000
Medellín            | Колумбия | ~15 000
Cusco               | Перу | ~15 000 | Наследие империи
Callao              | Перу | Порт Лимы
Valdivia            | Чили | ~10 000
Punta Arenas        | Чили | ~5 000 | Крайний юг
Falkland (Stanley)  | UK | ~1 000 | Военный форпост

## Австралия и Океания
Adelaide            | Юж. Австралия | Основан 1836
Perth               | Зап. Австралия | Основан 1829
Brisbane            | Квинсленд | ~5 000→
Wellington          | Нов. Зеландия | ~3 000
Suva                | Фиджи | ~2 000
Honolulu            | Гавайи | ~10 000
Papeete            | Таити | ~5 000
Levuka              | Фиджи | ~2 000


# =============================================================================
# ПРИМЕЧАНИЯ ДЛЯ МОДДИНГА Vic2
# =============================================================================
#
# 1. Категории — относительные для эпохи 1830–1850, не современные мегаполисы.
# 2. Города с «→» быстро росли к концу периода (Шанхай, Чикаго, Сингапур, Гонконг).
# 3. В игре terrain = urban часто вешают на столицу/ручную разметку, не на все города.
# 4. Для провинций Vic2: ориентируйтесь на исторические названия из definition.csv.
# 5. Китай: до 1842 внешняя торговля в основном через Гуанчжоу; после — «договорные порты».
# 6. Индия: кат. 3 — президенские города; кат. 2 — навабы и торговые центры.
# 7. Япония до 1853 изолирована (sakoku); иностранные порты — Нагасаки, позже Йокогама.
#
# Источники (ориентиры): переписи UK/France, Mitchell «City of Bits»,
# Chandler «Four Thousand Years of Urban Growth», Maddison, данные по Цин/Османской империи.
